Name,Physical - Socket:,Physical - Foundry:,Physical - Process Size:,Physical - Transistors:,Physical - Die Size:,Physical - Package:,Physical - tCaseMax:,Processor - Market:,Processor - Production Status:,Processor - Release Date:,Processor - Part#:,Processor - Bundled Cooler:,Performance - Frequency:,Performance - Turbo Clock:,Performance - Base Clock:,Performance - Multiplier:,Performance - Multiplier Unlocked:,Performance - Voltage:,Performance - TDP:,Performance - FP32:,Performance - INT32:,Architecture - Codename:,Architecture - Generation:,Architecture - Memory Support:,Architecture - DRAM Type:,Architecture - GDDR6 Capacity:,Architecture - Rated Speed:,Architecture - Memory Bus:,Architecture - ECC Memory:,Architecture - PCI-Express:,Architecture - Chipset:,Core Config - # of Cores:,Core Config - # of Threads:,Core Config - SMP # CPUs:,Core Config - Integrated Graphics:,Cache - Cache L1:,Cache - Cache L2:,Cache - Cache L3:,Architecture - Chipsets:,Processor - Launch Price:,Physical - tJMax:,Core Config - Core Pipeline:,Performance - Configurable TDP:,Performance - HyperTransport:,Architecture - LPDDR5 Speed:,Processor - Package#:,Processor - Stepping Codes:,Architecture - DDR4 Speed:,Architecture - Maximum Memory:,Performance - Configurable TDP-down:,Architecture - DDR3L Speed:,Architecture - LPDDR3 Speed:,Architecture - DMI Bus Speed:,Performance - TDP-Down Freq.:,Performance - E-Core Frequency:,Performance - PL1:,Performance - PL2:,Architecture - LPDDR4x Speed:,Core Config - Hybrid Cores:,Cache - E-Core L1:,Cache - E-Core L2:,Architecture - DDR5 Speed:,Performance - Uncore Frequency:,Performance - TDP-down Frequency:,Architecture - Northbridge Location:,Performance - Max Power:,Performance - Minimum Power:,Architecture - PCH PCIe:,Performance - TDP-Down Frequency:,Architecture - LPDDR4 Speed:,Processor - MSRP:,Performance - TDP Range:,Performance - All-Core Turbo:,Performance - PL2 Tau Limit:,Architecture - Secondary PCIe:,Performance - Processor Base Power:,Performance - Min. Assured Freq.:,Performance - Max. Assured Freq.:,Performance - Maximum Power:,Performance - TDP-Up Freq.:,Physical - Base Die Process:,Physical - Base Die Transistors:,Physical - Base Die Size:,Performance - All Core Turbo:,Performance - Bus Speed:,Architecture - Packaged Memory:,Architecture - Memory Capacity:,Performance - TDP-up Frequency:,Performance - Configurable TDP-up:,Performance - All P-Core Turbo:,Performance - P-Core Boost 3.0:,Processor - Retail Launch:,Performance - Max Multi Adjust:,Physical - eDRAM Process Size:,Physical - eDRAM Die Size:,Cache - Cache L4:,Performance - All Core Frequency:,Performance - Boost 3.0:,Performance - P-Core Turbo:,Physical - IMC Process Size:,Physical - IMC Die Size:,Physical - IMC Transistor Count:,Performance - Boost 2.0:,Physical - Radeon Graphics Die Size:,Core Config - Dedicated Graphics:,Performance - Boost 3.0 Frequency:,Architecture - DMI3:,Physical - SoC Tile Process:,Physical - I/O Tile Process:,Physical - Graphics Tile Process:,Performance - LP E-Core Frequency:,Performance - AI Boost NPU:,Core Config - LP E-Cores:,Performance - LP E-Core Boost:,Architecture - LPDDR5x Speed:,Architecture - Tertiary PCIe:,Performance - AI Boost NPU 4:,Cache - Cache L0-D:,"Performance - PL2 ""Extreme"":",Physical - I/O Process Size:,Physical - I/O Die Size:,Performance - PPT:,Cache - 3D V-Cache:,Core Config - # of CCDs:,Core Config - Cores per CCD:,Physical - I/O Transistors:,Performance - NorthBridge-IMC Clock:,Processor - OEM Launch MSRP:,Processor - Retail Launch MSRP:,Performance - Minimum Clock:,Performance - Minimum Voltage:,Architecture - HyperTransport Links:,Architecture - HyperTransport Clock:,Core Config - FPU Pipeline:,Performance - ACP:,Performance - HT Link:,Performance - HT Links:,Performance - NB/IMC Clock:,Performance - NB Frequency:,Architecture - Configurable TDP:,Performance - Effective FSB:,Cache - Trace L1:,Cache - L1 Trace:,Performance - TDP-down:,Performance - XFR:,Performance - P-Core Base:,Processor - Retail Availability:,Processor - Retail Refresh:,Performance - XDNA NPU:,Performance - PBO Curve:,Cache - E-Core L3:,Architecture - LPDDR4:,Architecture - Max. Memory:,Architecture - Chipset PCIe:,Processor - Retail Release:,Architecture - CXL:,Architecture - UPI Links:,Core Config - AVX-512 FMA Ports:,Architecture - MCR DIMM Speed:,Architecture - Max Memory:,Processor - Announcement:,Performance - Adjustable Multiplier:,Architecture - QPI Links:,Performance - High Priority Core Freq.:,Performance - Low Priority Core Freq.:,Core Config - High Priority Cores:,Core Config - Low Priority Cores:,Cache - Package HBM:,Performance - AVX2 Turbo:,Performance - AVX-512 Turbo:,Performance - Turbo Boost 2.0:,Performance - Max Turbo Power:,Architecture - DMI:
AMD 4800S Specs | TechPowerUp CPU Database,AMD BGA 2963,TSMC,7 nm,"15,300 million",360 mm²,FC-BGA,100°C,Desktop,Active,"Jan 4th, 2023",100-000000468,Wraith Stealth,3.6 GHz,up to 4 GHz,100 MHz,36.0x,No,1.35 V,65 W,256 GFLOPS,117 IOPS,Ariel,Ryzen Embedded(Zen 2 (Renoir)),unknownDepends on motherboard,GDDR6,16 GB,7000 MT/s,Quad-channel,No,"Gen 4, 4 Lanes(CPU only)",A77E (Bolton-E4),8,16,1,N/A,64 KB (per core),512 KB (per core),8 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD A10-4600M Specs | TechPowerUp CPU Database,AMD Socket FS1r2,GlobalFoundries,32 nm,"1,303 million",246 mm²,µPGA,,Mobile,End-of-life,"May 15th, 2012",AM4600DEC44HJ,,2.3 GHz,up to 3.2 GHz,100 MHz,23.0x,No,1.3 V,35 W,,,Trinity,A10(Trinity),DDR3,,,1600 MT/s,Dual-channel,No,Gen 2,,4,4,1,Radeon HD 7660G,192 KB,4 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD A10-4655M Specs | TechPowerUp CPU Database,AMD Socket FP2,GlobalFoundries,32 nm,"1,303 million",246 mm²,BGA2,100°C,Mobile,End-of-life,"May 15th, 2012",AM4655SIE44HJ,,2000 MHz,up to 2.8 GHz,100 MHz,20.0x,No,1.2 V,25 W,,,Trinity,A10(Trinity),DDR3,,,1333 MT/s,Dual-channel,No,Gen 2,,4,4,1,Radeon HD 7620G,192 KB,4 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD A10-5700 Specs | TechPowerUp CPU Database,AMD Socket FM2,GlobalFoundries,32 nm,"1,303 million",246 mm²,µPGA,71°C,Desktop,End-of-life,"Oct 2nd, 2012",AD5700OKA44HJAD5700OKHJBOX,,3.4 GHz,up to 4 GHz,100 MHz,34.0x,No,1.475 V,65 W,,,Trinity,A10(Trinity),DDR3,,,1866 MT/s,Dual-channel,No,Gen 2,,4,4,1,Radeon HD 7660D,192 KB,4 MB (shared),,"A88X, A85X, A78, A75, A68H, A55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD A10-5745M Specs | TechPowerUp CPU Database,AMD Socket FP2,,32 nm,"1,178 million",246 mm²,BGA2,71°C,Mobile,Active,"Jun 1st, 2013",AM5745SIE44HL,,2.1 GHz,up to 2.9 GHz,100 MHz,21.0x,No,1.475 V,25 W,,,Richland,A10(Richland),DDR3,,,,Dual-channel,No,,,4,4,1,Radeon HD 8610G,128 KB (per core),1 MB (per core),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD A10-5750M Specs | TechPowerUp CPU Database,AMD Socket FS1r2,,32 nm,"1,178 million",246 mm²,µPGA,71°C,Mobile,unknown,"Jun 1st, 2013",AM5750DEC44HL,,2.5 GHz,up to 3.5 GHz,100 MHz,25.0x,No,1.25 V,35 W,,,Richland,A10(Richland),DDR3,,,,,No,,,4,4,1,Radeon HD 8650G,128 KB (per core),1 MB (per core),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD A10-5757M Specs | TechPowerUp CPU Database,AMD Socket FP2,,32 nm,"1,178 million",246 mm²,BGA2,71°C,Mobile,unknown,"Jun 1st, 2013",AM5757DFE44HL,,2.5 GHz,up to 3.5 GHz,100 MHz,25.0x,No,1.475 V,35 W,,,Richland,A10(Richland),DDR3,,,,Dual-channel,No,,,4,4,1,Radeon HD 8650G,128 KB (per core),1 MB (per core),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD A10-5800B Specs | TechPowerUp CPU Database,AMD Socket FM2,GlobalFoundries,32 nm,"1,303 million",246 mm²,µPGA,74°C,Desktop,End-of-life,"Oct 2nd, 2012",AD580BWOA44HJ,,3.8 GHz,up to 4.2 GHz,100 MHz,38.0x,No,1.475 V,100 W,,,Trinity,A10(Trinity),DDR3,,,1866 MT/s,Dual-channel,No,Gen 2,,4,4,1,Radeon HD 7660D,192 KB,4 MB (shared),,"A88X, A85X, A78, A75, A68H, A55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD A10-5800K Specs | TechPowerUp CPU Database,AMD Socket FM2,GlobalFoundries,32 nm,"1,303 million",246 mm²,µPGA,74°C,Desktop,End-of-life,"Oct 2nd, 2012",AD580KWOA44HJAD580KWOHJBOX,,3.8 GHz,up to 4.2 GHz,100 MHz,38.0x,Yes,1.475 V,100 W,,,Trinity,A10(Trinity),DDR3,,,1866 MT/s,Dual-channel,No,Gen 2,,4,4,1,Radeon HD 7660D,192 KB,4 MB (shared),,"A88X, A85X, A78, A75, A68H, A55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD A10-6700 Specs | TechPowerUp CPU Database,AMD Socket FM2,GlobalFoundries,32 nm,"1,303 million",246 mm²,µPGA,71°C,Desktop,End-of-life,"Jun 1st, 2013",AD6700OKHLBOXAD6700OKA44HL,,3.7 GHz,up to 4.3 GHz,100 MHz,37.0x,No,1.475 V,65 W,,,Richland,A10(Richland),DDR3,,,1866 MT/s,Dual-channel,No,Gen 2,,4,4,1,Radeon HD 8670D,192 KB,4 MB,,"A88X, A85X, A78, A75, A68H, A55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
